self-play number, loss, entropy
2,4.274032115936279,3.8367021083831787
3,4.769243240356445,3.902172088623047
4,4.684415817260742,3.9146459102630615
5,4.649829864501953,3.91762638092041
6,4.5006818771362305,3.889084577560425
7,4.482161521911621,3.9023232460021973
8,4.581892013549805,3.9214682579040527
9,4.690057277679443,3.9490268230438232
10,4.489251136779785,3.9160592555999756
11,4.516417026519775,3.903639316558838
12,4.495214939117432,3.9558422565460205
13,4.383035182952881,3.963021755218506
14,4.2243828773498535,3.8845980167388916
15,4.204951763153076,3.825584888458252
16,4.462334632873535,3.8609251976013184
17,4.374459743499756,3.903325080871582
18,4.490952014923096,3.893589496612549
19,4.392288684844971,3.870149850845337
20,4.284102439880371,3.877800941467285
21,4.350290298461914,3.876959800720215
22,4.337858200073242,3.827909231185913
23,4.295546531677246,3.8083512783050537
24,4.23750114440918,3.826991081237793
25,4.238241195678711,3.847738742828369
26,4.167996883392334,3.825874090194702
27,4.228630065917969,3.7800889015197754
28,4.274749279022217,3.7940402030944824
29,4.139299392700195,3.7843282222747803
30,4.2153754234313965,3.780362129211426
31,4.203583240509033,3.8098013401031494
32,4.105066299438477,3.7826733589172363
33,4.035492420196533,3.7288448810577393
34,4.132154941558838,3.783390998840332
35,4.155766010284424,3.7941737174987793
36,4.2052507400512695,3.8003389835357666
37,4.27385139465332,3.810086965560913
38,4.1925787925720215,3.7916717529296875
39,4.12091588973999,3.7872519493103027
40,4.1698479652404785,3.7553963661193848
41,4.27435302734375,3.755704879760742
42,4.163422584533691,3.7205770015716553
43,4.203650951385498,3.719026565551758
44,4.247890472412109,3.7361912727355957
45,4.285660266876221,3.741358995437622
46,4.226916790008545,3.721019983291626
47,4.182940483093262,3.6950454711914062
48,4.175718307495117,3.64536452293396
49,4.194836616516113,3.684509038925171
50,4.299317359924316,3.7065484523773193
